epoch,image_loss,text_loss,total_loss,seconds,peak_gpu_gib
1,0.38169994950294495,0.29440152645111084,0.6761013269424438,26.331963401986286,16.537731647491455
2,0.30366095900535583,0.18708381056785583,0.49074476957321167,24.59355512697948,16.537731647491455
3,0.2973741590976715,0.17778776586055756,0.4751618802547455,24.588273482979275,16.537795066833496
4,0.29009467363357544,0.16689662635326385,0.45699137449264526,24.60026482900139,16.537795066833496
5,0.2836175858974457,0.15723110735416412,0.4408486485481262,24.575577274954412,16.537795066833496
6,0.27890950441360474,0.14786240458488464,0.42677196860313416,24.629834071965888,16.537795066833496
7,0.274699866771698,0.13933546841144562,0.4140353202819824,24.619091781962197,16.537915229797363
8,0.2708246409893036,0.13187596201896667,0.40270060300827026,24.59842898795614,16.537915229797363
9,0.26745671033859253,0.12555359303951263,0.39301031827926636,24.54948589199921,16.537915229797363
10,0.264181911945343,0.1200122982263565,0.3841942548751831,24.550708913011476,16.537915229797363
11,0.2610059678554535,0.11548355221748352,0.37648966908454895,24.553155623958446,16.538061141967773
12,0.2583882212638855,0.11170694231987,0.3700951635837555,24.580371932999697,16.538061141967773
13,0.2553453743457794,0.10830622911453247,0.3636515736579895,24.645826621970627,16.538061141967773
14,0.252975195646286,0.10555939376354218,0.35853469371795654,24.608030108967796,16.538061141967773
15,0.25128793716430664,0.10278020799160004,0.3540681302547455,24.613570243003778,16.538061141967773
16,0.2489832043647766,0.10057397931814194,0.34955716133117676,24.637701046012808,16.538061141967773
17,0.24709868431091309,0.09846373647451401,0.34556230902671814,24.57681101298658,16.538061141967773
18,0.24493275582790375,0.0965164452791214,0.34144917130470276,24.579220557003282,16.538061141967773
19,0.24332989752292633,0.09513607621192932,0.33846598863601685,24.575602344993968,16.538061141967773
20,0.24169297516345978,0.09327544271945953,0.3349684178829193,24.600441598973703,16.538061141967773
21,0.23992949724197388,0.09183112531900406,0.3317604959011078,24.558528236986604,16.538061141967773
22,0.23852334916591644,0.09055673331022263,0.32908007502555847,24.524785312998574,16.538061141967773
23,0.23724085092544556,0.08932065963745117,0.32656151056289673,24.56060989201069,16.538061141967773
24,0.2356327325105667,0.08850018680095673,0.3241329789161682,24.57394596398808,16.538061141967773
25,0.23443114757537842,0.08713757991790771,0.32156872749328613,24.54459476401098,16.538061141967773
26,0.23280662298202515,0.08620020747184753,0.31900689005851746,24.554826711013447,16.538061141967773
27,0.2318182736635208,0.08509977161884308,0.31691810488700867,24.616897800005972,16.538061141967773
28,0.23042860627174377,0.08435436338186264,0.31478291749954224,24.639545881014783,16.538061141967773
29,0.22887255251407623,0.08354092389345169,0.3124134838581085,24.56846531596966,16.538061141967773
30,0.2278919219970703,0.08265107870101929,0.3105429410934448,24.530594648967963,16.538061141967773
31,0.22699986398220062,0.08181413263082504,0.30881401896476746,24.574196753033902,16.538061141967773
32,0.22566719353199005,0.08112400025129318,0.3067912459373474,24.57827706396347,16.538061141967773
33,0.22460484504699707,0.08031459897756577,0.3049194812774658,24.597571842954494,16.538061141967773
34,0.22335034608840942,0.07969635725021362,0.3030467927455902,24.556553228991106,16.538061141967773
35,0.22223418951034546,0.07912632822990417,0.30136051774024963,24.607842475001235,16.538061141967773
36,0.2212960422039032,0.07847446948289871,0.2997705638408661,24.58042472100351,16.538061141967773
37,0.2204824686050415,0.07763839513063431,0.29812091588974,24.575828389963135,16.538061141967773
38,0.2191540151834488,0.07711657881736755,0.29627057909965515,24.552013123990037,16.538061141967773
39,0.21828193962574005,0.07649268954992294,0.2947746515274048,24.502926516986918,16.538061141967773
40,0.2174306958913803,0.07595304399728775,0.29338374733924866,24.556589913961943,16.538061141967773
41,0.21614877879619598,0.0753927230834961,0.29154151678085327,24.536056321987417,16.538061141967773
42,0.21514026820659637,0.07493691891431808,0.2900771498680115,24.578196354035754,16.538061141967773
43,0.21437673270702362,0.07434365898370743,0.28872042894363403,24.592609788989648,16.538061141967773
44,0.21339477598667145,0.07398340851068497,0.28737813234329224,24.606362355989404,16.538061141967773
45,0.21242891252040863,0.07335265725851059,0.2857815623283386,24.57683062000433,16.538061141967773
46,0.2118227183818817,0.07284755259752274,0.284670352935791,24.52285299199866,16.538061141967773
47,0.210783451795578,0.07235153764486313,0.28313499689102173,24.588152919954155,16.538061141967773
48,0.20971404016017914,0.07203736901283264,0.28175148367881775,24.58494030201109,16.538061141967773
49,0.20877404510974884,0.07147669792175293,0.28025078773498535,24.605456740013324,16.538061141967773
50,0.20790454745292664,0.07100217789411545,0.2789066433906555,24.58449192601256,16.538061141967773
51,0.2074689120054245,0.07067886739969254,0.27814775705337524,24.62764697399689,16.538061141967773
52,0.2065799981355667,0.07028350234031677,0.2768634855747223,24.640694460016675,16.538061141967773
53,0.20535270869731903,0.06991709768772125,0.27526986598968506,24.536149800987914,16.538061141967773
54,0.20463639497756958,0.06942184269428253,0.2740582227706909,24.538073144038208,16.538061141967773
55,0.20392414927482605,0.0689614787697792,0.27288559079170227,24.58334651699988,16.538061141967773
56,0.20320290327072144,0.06862780451774597,0.2718307375907898,24.608183332020417,16.538061141967773
57,0.20232294499874115,0.06827466934919357,0.2705976366996765,24.589062219951302,16.538061141967773
58,0.20145128667354584,0.06806720048189163,0.26951852440834045,24.638605396961793,16.538061141967773
59,0.2008747160434723,0.06756433844566345,0.26843905448913574,24.57679158897372,16.538061141967773
60,0.19996777176856995,0.06720567494630814,0.26717352867126465,24.57199823798146,16.538061141967773
61,0.1989816129207611,0.06691036373376846,0.26589202880859375,24.561299055989366,16.538061141967773
62,0.19817695021629333,0.06656637787818909,0.26474320888519287,24.578324441972654,16.538061141967773
63,0.1975945234298706,0.06631047278642654,0.2639048993587494,24.568218585976865,16.538061141967773
64,0.1967531442642212,0.06590515375137329,0.26265832781791687,24.606933967967052,16.538061141967773
65,0.1961655616760254,0.06570370495319366,0.2618691921234131,24.60413408401655,16.538061141967773
66,0.19560213387012482,0.06533174961805344,0.26093384623527527,24.61445846699644,16.538061141967773
67,0.19462761282920837,0.06506501883268356,0.2596926689147949,24.612582314002793,16.538061141967773
68,0.19394227862358093,0.06479647755622864,0.25873884558677673,24.529169813962653,16.538061141967773
69,0.19333340227603912,0.0645025447010994,0.2578359842300415,24.618322068999987,16.538061141967773
70,0.1924489438533783,0.06420794874429703,0.2566568851470947,24.604794248996768,16.538061141967773
71,0.19211576879024506,0.06393476575613022,0.25605058670043945,24.54316502797883,16.538061141967773
72,0.19109836220741272,0.06369583308696747,0.254794180393219,24.578262674971484,16.538061141967773
73,0.19051635265350342,0.06337708234786987,0.2538934051990509,24.662088126991875,16.538061141967773
74,0.18996688723564148,0.06309347599744797,0.2530602812767029,24.601354965998325,16.538061141967773
75,0.18924769759178162,0.06295687705278397,0.2522045075893402,24.55083378398558,16.538061141967773
76,0.18846574425697327,0.06266548484563828,0.2511310875415802,24.558917244023178,16.538061141967773
77,0.18775574862957,0.062493354082107544,0.25024908781051636,24.557256483996753,16.538061141967773
78,0.1875632405281067,0.06214962154626846,0.24971291422843933,24.576127021980938,16.538061141967773
79,0.18670663237571716,0.061992861330509186,0.24869953095912933,24.509278555982746,16.538061141967773
80,0.18595336377620697,0.06174543499946594,0.24769887328147888,24.594442485948093,16.538061141967773
81,0.18548421561717987,0.061540476977825165,0.24702470004558563,24.576886782015208,16.538061141967773
82,0.184661403298378,0.06126108393073082,0.2459225356578827,24.527889075980056,16.538061141967773
83,0.18413899838924408,0.06109264865517616,0.24523161351680756,24.53612045699265,16.538061141967773
84,0.18341723084449768,0.06086864694952965,0.24428583681583405,24.66846833296586,16.538061141967773
85,0.18308743834495544,0.06065921485424042,0.2437465786933899,24.722954003023915,16.538061141967773
86,0.18216858804225922,0.06048444285988808,0.242653027176857,24.644223303999752,16.538061141967773
87,0.18191535770893097,0.060250379145145416,0.2421656996011734,24.613704594958108,16.538061141967773
88,0.18111921846866608,0.0600358322262764,0.24115504324436188,24.589966397965327,16.538061141967773
