method,validation_score25_mean,validation_score25_std,test_fixed_score25_mean,test_fixed_score25_std,test_ranked_score25_mean,test_ranked_score25_std,validation_metric_mean,validation_metric_std,test_metric_mean,test_metric_std,validation_call_mean,validation_call_std,test_call_mean,test_call_std,validation_mean_minus_std
error,0.653181869949977,0.00029285862604605935,0.5623434954185125,0.0005865578956539791,0.5824310668534718,0.0004537183262375207,0.7327345991681659,0.0007294476116559371,0.6680335653281058,0.0011201126898523841,0.4987538747529051,0.010232411153173287,0.5340324580222858,0.011615989761374094,0.6528890113239308
four_difference,0.6665320729248834,0.0004451831677229395,0.5966008930470663,0.0006800302851502677,0.5919492621796143,0.0004530494994020287,0.7311304050310635,0.0003132384785791997,0.6742025885780812,0.0004984749682483765,0.5472576238775222,0.0043082642498178045,0.5666366527967134,0.0036071787229059135,0.6660868897571605
four_ratio,0.6660615122404552,0.001052820164752406,0.5832913753284377,0.0017921552388281987,0.5874390286163175,0.0010028619279574815,0.7345261185173315,0.001016396826168321,0.6696234867607541,0.0031125297264799506,0.49825541694902187,0.01359322573042264,0.5282950880372231,0.00858481729720522,0.6650086920757028
gain,0.6658239659605936,0.0007075700773489459,0.5954408739908841,0.0006431142672200772,0.5912682221089238,0.0004560314657539302,0.7304688805207613,0.0003308377568018673,0.6733461562700767,0.0003218018899692329,0.5495056533388056,0.011611002500379745,0.5665729657740511,0.010940868975414547,0.6651163958832447
route,0.6521284562098713,0.0005204797508024464,0.5698550507031748,0.002651025242534859,0.5845427411273968,0.0004120921867447789,0.7333419016671792,0.0006129222977505627,0.6726232865905931,0.0011190488025117787,0.4890204854293394,0.008068411702983952,0.5207177256972306,0.007986317831949974,0.6516079764590688
